评论者,评论内容,评分,评论时间,产品型号,地区
j***s,评论 浪费 豆 真的 不错 N 次 京东 东西 棒棒 棒 好 厉害 好 东西 实惠 质量 不错 感觉 上瘾 买买 停不来 东西 品种 特别 全 划算 实惠 包装 好 损坏 支持 服务 这是 好评 模板 懒 不想 产品 写 好评 特地 模仿 网友 写下 模板 产品质量 肯定 好 喜欢 东西 不好 收到 东西 变得 生气 变得 喋喋不休 评价 自然 撤 好评 写下 询友 参考 商品 值得 购买 搞 活动 合着 一箱,5,2024-01-15 14:28:50,六年窖头曲 52度500mL 整箱,山东
可***龙,收到 货 质量 好 超出 期望值 好 购物 体验,5,2024-01-15 10:23:37,六年窖头曲 52度500mL 整箱,北京
a***3,老 品牌 口粮 酒 值得 信赖,5,2024-01-14 21:10:25,六年窖头曲 52度500mL 整箱,广东
j***x,礼盒 很漂亮 送礼 领导 亲戚朋友 喜欢 酒 好喝 值得 入手 发货 很快 快点 购买,5,2024-01-14 14:14:18,六年窖头曲 52度500mL 单瓶,内蒙古
t***1,划算 价格 合适 品质 保证,5,2024-01-14 10:57:55,六年窖头曲 52度500mL 整箱,河南
奔***梦,好,5,2024-01-13 20:34:49,六年窖头曲 52度500mL 整箱,江苏
淡***主,京东 品质 价格便宜 质量 不错 推荐 同事 箱 同事 满意,5,2024-01-13 15:21:45,六年窖头曲 52度500mL 整箱,山东
海***型,货 收到 泸州老窖 两箱,5,2024-01-12 21:02:19,六年窖头曲 52度500mL 整箱,陕西
j***O,满意,5,2024-01-12 19:06:44,52度 500mL 2瓶 龙行大运礼盒,河北
靠***1,老爸 口粮 酒 说 好喝 上头 白酒 进阶 老爸 喜欢 一箱 喝完 购买 好评 好评 好评,5,2024-01-11 20:12:36,六年窖头曲 52度500mL 整箱,江苏
j***c,好酒 大气 过年 柔和 好 入口 返单 购买,5,2024-01-11 19:51:03,六年窖头曲 52度500mL 整箱,北京
寒***1,好,5,2024-01-11 16:31:42,52度 500mL 2瓶 龙行大运礼盒,广西
五***5,商品 收到 咯 特别 喜欢 收到 迫不及待 打开 家人 满意 购物 体验 不错 宝贝 收到 描述 喜欢,5,2024-01-11 16:05:12,六年窖头曲 52度500mL 整箱,河南
闲***饭,京东 东西 品质 保障 物流 速度 很快 快递 员 每次 送货到 家里 活动 优惠 总体 价格 实惠 品质 保障 退换货 速度 很快 售后服务 满意度 高 家里 口粮 囤 六年 窖 赶上 活动 价格 实惠 囤 两箱,5,2024-01-11 12:08:39,六年窖头曲 52度500mL 整箱,北京
小***y,商品 刚买 活动 参加 价保 不爽,5,2024-01-11 11:31:28,52度 1L 6瓶 蓝花瓷头曲大容量,辽宁
j***5,正好 过年 送礼 年前 赶上 京东 活动 上车 外面 一层 保鲜膜 包裹 快递 单号 贴 保鲜膜 送礼 快递 单号 好看 细节 到位,5,2024-01-10 17:40:04,六年窖头曲 52度500mL 整箱,江苏
悦***_,快递 很快 商品 口感 好,5,2024-01-10 11:51:31,六年窖头曲 52度500mL 整箱,湖南
l***8,一般般,2,2024-01-10 11:12:38,52度 500mL 2瓶 春节礼盒,浙江
j***y,泸州老窖 大销 单品 酒体 饱满 纯正 人口 绵柔 窖 香 浓郁 不到 一百 口粮 酒 值得 购买 纯 粮食 酒 京东 物流 很快 老牌子 值得 信赖,5,2024-01-10 08:16:14,六年窖头曲 52度500mL 整箱,广东
j***7,性价比 超高 口粮 酒 不错,5,2024-01-10 00:50:47,六年窖头曲 52度500mL 整箱,贵州
N***9,产品包装 精致 美观 大气 不错 真实 评价 希望 帮 集美 好 购物 体验 服务周到 物流 快速 配送 周到 态度 好 好评 细节 完美 整体 真的 不错 性价比 高 下次 还会 光顾,5,2024-01-10 00:39:31,六年窖头曲 52度500mL 整箱,江苏
t***7,包装 设计 斜 感觉不好 好像 正规 酒 不知 酒 正品 希望 包装 失望,3,2024-01-09 21:41:39,六年窖头曲 52度500mL 单瓶,四川
芒***瓜,酒 收到 完美 还会 帮 朋友,5,2024-01-09 20:46:51,六年窖头曲 52度500mL 整箱,云南
j***s,大厂 品牌 实惠 口粮 酒,5,2024-01-09 18:47:57,六年窖头曲 52度500mL 整箱,陕西
j***f,包装 设计 箱子 厚实 压痕 泡沫 香型 口感 浓香型 白酒 斤装 过年 招待 亲戚 正好 一瓶 服务 商家 服务 到位 物流 速度 物流 很快 隔天,5,2024-02-09 16:02:22,52度 1L 6瓶 蓝花瓷头曲大容量,河南
7***4,好几 单得 一部分 送给 亲戚朋友 一件 留给 检查 酒质 好 味道 不错 推荐 购买 PS 礼盒 包装 适合 送人,5,2024-02-14 14:44:06,52度 500mL 2瓶 蓝花瓷龙年礼盒,河北
u***e,包装 太 周到 双层 防护 手提袋 喜庆 特别 适合 过年 年货 节 价格 实惠 入 两箱 慢慢 六年 窖 头曲 口粮 特别 喜欢 好喝 上头,5,2024-02-08 22:32:52,六年窖头曲 52度500mL 整箱,河南
苏***翼,白酒 第四次 购买 整箱 白酒 配料表 里 水 高粱 小麦 纯 粮食 酿造 白酒 入口 甘甜 一款 值得 推荐 性价比 高 口粮 酒,5,2024-02-24 08:23:58,六年窖头曲 52度500mL 整箱,江苏
J***R,过年 回家 选 礼品 送 长辈 真不知道 送 送 牛奶 饮料 总 感觉 合适 剩 烟酒 hellip 白酒 泸州老窖 头曲 感觉 不错 果断 下单 不用 辛苦 运回去 老家 下单 隔天 送到 京东 自营 送到 村子 里 太 京东 点个 赞,5,2024-02-11 12:04:34,六年窖头曲 52度500mL 整箱,河北
j***k,香味 泸州老窖 陈酿 散发出 醇香 麦芽 味 橡木 桶 香气 入口 留香 悠长 味道 独特 评价 好 口感 泸州老窖 陈酿 入口 柔和 酒体 圆润 口感 细腻 回味 甘甜 评价 口感 好 品质 泸州老窖 陈酿 采用 生产工艺 选用 优质 酒原 酒质 纯正 口感 优美 评价 品质 好,5,2024-02-05 20:13:00,52度 500mL 2瓶 蓝花瓷龙年礼盒,上海
s***o,好喝 上头 入口 顺滑 酒 京东 快递 品质 不错 泸州老窖 六年 窖 头曲 一款 口感 浓香 白酒 入口 醇厚 甜润 带有 一丝 辣味 回味 悠长,5,2024-02-14 20:48:29,六年窖头曲 52度500mL 整箱,福建
钓***人,前 几天 喝过 晚上 品尝 酒 不错 适合 入口 不爆 很辣 感觉 不苦 喝完 难受 头晕 口渴,5,2024-02-21 22:45:21,六年窖头曲 52度500mL 单瓶,河南
j***5,看着 挺 好 好看 两天 喝喝 第一次 购买 单粮 浓香 大厂 品牌 信得过 京东 发货 速度 快 包装 好 完整 好 购物,5,2024-02-09 09:40:48,六年窖头曲 52度500mL 单瓶,上海
s***8,物流 很快 晚上 点多下 单子 今天下午 送到 家 老牌子 酒 口感 绵柔 包装 设计 美观大方 喜庆,5,2024-02-05 20:28:15,52度 500mL 2瓶 龙行大运礼盒,北京
大***三,好 口粮 酒 价格 实惠 口感 绵柔 喜欢 喝川酒 朋友 体会 也许 年纪 好 一口 说 点儿 体会 体会,5,2024-02-04 22:44:22,52度 1L 6瓶 蓝花瓷头曲大容量,四川
幻***晶,款 泸州老窖 口感 绵密 不辣 嗓子 适合 小酌 关注 很久 抓住 搞 活动 价 赶紧 囤货 价格 亲民 包装 好 两层 箱子 还备 礼品袋 送礼 满意 还会 回购 好评,5,2024-02-04 10:02:46,六年窖头曲 52度500mL 整箱,北京
j***心,朋友 推荐 购买 说 六年 头曲 口感 棒 买来 试试 入口 不辣 口感 醇厚 回味无穷 值得 购买 送 不错 选择,5,2024-02-09 15:03:36,六年窖头曲 52度500mL 整箱,北京
铁***长,泸州老窖 白酒 老 名牌 建国 白酒 评选 六大 名酒 八大 名酒 泸州老窖 榜上有名 酒精度 数度 浓香型 白酒 六年 窖 固态 法 白酒 酒味 浓香 口感 浓郁 不辣喉 上头 适合 小酌 几杯 慢品 大口 酒量 好 一百多 价位 款 泸州老窖 同比 好 京东 超市 到家 下单 第二天 收到 包装 结实 好评,5,2024-02-24 04:45:47,六年窖头曲 52度500mL 单瓶,江苏
m***2,特价 抢 价位 合适,3,2014-10-01 12:39:18,六年陈头曲09版-单瓶装,未知
a***2,泸州老窖 五届 中国 名酒 浓香 鼻祖 最早 浓香型 白酒 泸 香型 功底 深厚 款 六年 窖 头曲 拥有 浓香型 白酒 特有 窖 香 纯净 绵甜 回味 悠长,5,2024-02-16 18:08:41,六年窖头曲 52度500mL 整箱,江西
王***铎,口感 好 同价位 没 对手 相比 汾酒 更 醇厚 包装 设计 好看 相比 特曲 特色 香型 口感 醇厚 物流 速度 京东 物流 一如既往 快,5,2024-02-17 20:56:55,六年窖头曲 52度500mL 整箱,河北
j***i,买来 送人 图片 包装 不错 买回来 惊喜 包装 结实 打开 很漂亮 分 酒器 酒盅 几个 好看 送人 高大 喜欢,5,2024-02-07 23:06:21,52度 500mL 2瓶 龙行大运礼盒,内蒙古
j***0,购买 味道 挺 好 入口 丰满 圆润 口感 微甜 醇厚 棉柔 回甘 柔和 回味 长 口感 好 性价比 挺 高,5,2024-02-16 21:25:53,六年窖头曲 52度500mL 整箱,北京
阿***1,好酒 口味 不错 京东 送货上门 速度 很快 酒 质量 好 送人 感觉 好 京东 质量 保证 不用 担心 假货,5,2024-02-06 15:55:19,六年窖头曲 52度500mL 整箱,江苏
i***5,大气 送礼 合适 喜庆 颜值 包装 细节 好 盒子 外边 有个 扣儿 里边 配送 酒具 面儿 送 长辈 首选 推荐,5,2024-02-11 15:58:30,52度 500mL 2瓶 龙行大运礼盒,河北
b***n,这款 酒 家中 长辈 常备 口粮 酒 购买 规格 ml times 瓶 一箱 浓香型 包装 大气 上档次 瓶子 厚重感 当做 礼品 不错 箱里 备有 三个 礼品袋 京东 物流 速度 很快 头 天下 单 第二天 到货,5,2024-02-18 16:52:12,六年窖头曲 52度500mL 整箱,北京
g***0,赞 好喝 上头 入口 顺滑 酒 京东 快递 品质 不错 泸州老窖 六年 窖 头曲 一款 口感 浓香 白酒 入口 醇厚 甜润 带有 一丝 辣味 回味 悠长,5,2024-02-08 21:33:40,六年窖头曲 52度500mL 整箱,河北
暗***月,入口 柔 中段 感受 辣味 伴随 醇厚 窖 香 异杂味 干净 香气 感受 酒液 醇厚 圆润 独特 立体感 陶醉 展现 浓香型 白酒 独特 魅力 值得一提的是 带来 暴香感 令人 印象 深刻 回味无穷 口感 香味 泸州老窖 年 窖 头曲 完全符合 好酒 标准,5,2024-02-06 08:45:39,六年窖头曲 52度500mL 整箱,北京
丫***龙,泸州老窖 里外 两层 包装 扎实 确保 运输 破碎 好 过后 说 口感 好 比度 有劲 适合 高度 数 酒 值得,5,2024-02-23 14:21:18,六年窖头曲 52度500mL 整箱,山东
南***娃,口感 醇厚 顺滑 度 入口 绵柔 回甜 口粮 酒 好喝 上头 性价比 高 京东 超市 物流配送 快 春节 期间 当天 下午 下单 第二天 收到,5,2024-02-11 16:40:25,六年窖头曲 52度500mL 整箱,河南
胭***木,过年 送礼 不错 包装 好看 两个 酒杯 好 酒盅 当做 口粮 酒 好 不贵 性价比 高 说 丢面,5,2024-02-15 16:20:31,52度 500mL 2瓶 龙行大运礼盒,广西
图***头,过年 回家 老爸 物流 超级 快 除夕 早上 到货 时间 刚刚 好 包装 完整 自带 礼品袋 老爸 喝酒 喜欢 浓香型 高度 白酒 口感 细腻 入口 绵润 回味 悠长,5,2024-02-14 20:56:48,六年窖头曲 52度500mL 整箱,湖北
j***a,款 泸州老窖 礼盒 袋装 白酒 包装 设计 高端 大气 上档次 年代 记念 酒 香型 口感 不用说 加加 物流 速度 特别 快 下单 明天 东西 家 赞,5,2024-02-27 17:20:51,六年窖头曲 瑞兔呈祥 礼盒,广东
浩***歌,过年 两边 老头 各买 两瓶 酒 京东 物流 很快 服务 好 嘿嘿嘿 泸州老窖 值得 信赖 好酒 包装 精美 送 杯子 分 酒器 精致,5,2024-02-08 17:45:15,52度 500mL 2瓶 龙行大运礼盒,四川
快***8,不辣 嗓子 口感 不错 平时 喝酒 少 家里人 说 不错 酒 包装 设计 不错 红色 酒瓶 喜庆 京东 物流 真不错 明天,5,2024-02-14 20:16:55,六年窖头曲 52度500mL 整箱,河北
l***宝,发货 快 泸州老窖 特曲 杠杠 滴 留齿 纯香 宝贝 质量 好 收到 货 第一 时间 打开 不错 满意 客服 有问必答 感谢 好 物流 很快 东西 力 性价比 高,5,2024-02-23 09:38:42,六年窖头曲 52度500mL 整箱,上海
屿***安,包装 设计 好看 大气 香型 口感 味道 香 不辣 嗓子 两杯 第二天 起床 脑袋 疼 服务 好 物流 速度 送货 速度快,5,2024-02-13 09:57:27,六年窖头曲 52度500mL 整箱,北京
t***8,入口 柔 中段 感受 浓 香味 伴随 醇厚 窖 香 异杂味 干净 香气 感受 酒液 醇厚 圆润 独特 立体感 陶醉 展现 浓香型 白酒 独特 魅力 值得一提的是 带来 暴香感 令人 印象 深刻 回味无穷 价格 实惠 口粮 酒 首选,5,2024-02-20 18:34:29,六年窖头曲 52度500mL 整箱,重庆
j***H,款 泸州老窖 口感 好 瓶子 特别 看着 档次 酒 好喝 挺 香 味道 平时 口粮 酒 送人 带 包装盒 手提袋 活动 时 买点 存 慢慢 京东 平台 京东 买酒,5,2024-02-23 13:47:19,六年窖头曲 52度500mL 整箱,天津
会***鱼,不错 超市 包装,3,2015-03-04 18:13:13,六年陈头曲09版-单瓶装,未知
u***4,物流 速度 春节 期间 很快 送到 家 特别 送到 快递 农村 棒 酒质 酒质 好 入口 柔和 说 浓香 酒里 口粮 酒 典范 包装 一箱 酒 三个 礼品袋 周到,5,2024-02-14 11:13:29,六年窖头曲 52度500mL 整箱,山东
I***师,包装 设计 大气 走亲 送礼 好 伴手 礼 香型 口感 口感 绵柔易 入口 一家人 吃吃喝喝 幸福 物流 速度 第二次 购买 京东 物流 始终 力 次日 购买 第二天 乡下 送到 真的 很棒,5,2024-02-23 22:37:05,六年窖头曲 52度500mL 整箱,四川
幸***x,收到 货 包装 满意 搭配 红色 礼品袋 应景 瓶子 简洁 大方 不像 华而不实 浓香型 老爸 说 入口 清香 上头 满意 回 回购 一款,5,2024-02-15 11:25:33,六年窖头曲 52度500mL 单瓶,辽宁
半***搭,包装 高大 红色 礼盒 送人 再好不过 第一次 入口 甘甜 口味 好 父亲 爱喝 京东 东西 真的 不错 保障 下次,5,2024-02-23 22:44:15,六年窖头曲 路路顺 礼盒,江苏
s***s,浓香 白酒 色泽 金黄 透明 诱人 倒入 杯中 时 酒 粘稠度 适中 挂杯 显示 出 优质 品质 快递 好 很快 满意,5,2024-02-20 08:20:22,52度 500mL 2瓶 春节礼盒,上海
j***e,包装 设计 包装 好 贴心 磕碰 特意 送 礼品袋 送人 不错 选择 香型 口感 口感 纯香 特别 好喝 不用 说 懂 懂,5,2024-02-08 09:38:19,六年窖头曲 52度500mL 整箱,四川
a***8,功课 这款 酒 说 百元 口粮 酒 首选 京东 价格 划算 送货上门 酒 不错 瓶子 高大,5,2024-02-21 18:14:35,六年窖头曲 52度500mL 整箱,新疆
M***z,不错 满满 一大 箱子 一共 六个 送货 很快 过年 送礼 不错 挺 好 京东 挺 谱 希望 更 活动 更好 拿来 送人 挺 高大,5,2024-02-06 19:58:21,六年窖头曲 52度500mL 整箱,北京
Z***Z,包装 完美 赠送 礼品袋 元宵节 送 家人 喜庆 性价比 高 口感 不错 品牌 值得 信赖 包装 设计 好 香型 口感 不错 香 服务 好 物流 速度 快 发货 速度 系列 新年 款 适合 家庭 送礼 朋友 送礼 赠送 酒杯 分 酒器,5,2024-02-24 16:41:30,52度 500mL 2瓶 龙行大运礼盒,广东
z***n,过年 年夜饭 看着 喜庆 包装 过年 感觉 价位 适中 合适 家庭 聚餐 酒 味道 不错 开车 没 品尝 但据 爸 叔 我弟 说 好,5,2024-02-15 23:06:21,52度 500mL 2瓶 龙行大运礼盒,上海
y***l,泸州老窖 品牌 酒 质量 不错 浓香型 口感 南方 老家 好 酒 度数 太低 老家 喜欢 度数 高 一点 白酒 价格 实惠 京东 自营 快递 到家 服务 好 值得 口粮 酒 购买,5,2024-02-13 12:59:25,六年窖头曲 52度500mL 整箱,湖南
尘***-,款 白酒 真的 很棒 打开 瓶盖 闻到 浓郁 酒香 陶醉 一口 口感 醇厚 绵 柔顺 滑 刺激 喉咙 上头 舒服 款 白酒 质量 好 纯粮 酿造 健康 价格 实惠 性价比 高 这是 一款 值得 购买 白酒 强烈推荐,5,2024-02-09 21:35:00,六年窖头曲 52度500mL 单瓶,陕西
五***3,泸州老窖 六年 头曲 浓香型 白 酒瓶 整箱 装 包装 设计 包装 简约 大气 上档次 彰显 气派 轻松 应对 场合 香型 口感 浓香 佳酿 好水出 好酒 泸州 水质 纯净 硬度 适宜 泉酿 酒 泉 香酒 烈 泸州老窖 品牌 品质 值得 信赖,5,2024-02-20 20:58:10,六年窖头曲 52度500mL 整箱,河北
j***过,好喝 一款 酒 口感 细腻 棉柔 上头 包装 精美 过年 买来 送礼 合适 精美 大气 上档次 活动 京东 值得 信赖 好评,5,2024-02-22 20:47:57,蓝花瓷头曲 52度500mL 礼盒,天津
V***e,两层 纸壳 箱 包装 结实 箱子 里 配有 两 盒装 礼品袋 送礼 不错 拿的出手 价格比 超市 便宜 实惠 划算 高度 酒放 住 放 几年 口感 更好,5,2024-02-27 19:43:36,六年窖头曲 52度500mL 整箱,北京
飞***锤,包装 好 龙年 送礼 很漂亮 家人 满意 酒盅 分 酒器 好 好 售后 解决 推荐 购买 过年 送礼 不错 推荐 推荐 还会 回购,5,2024-02-14 17:06:26,52度 500mL 2瓶 龙行大运礼盒,北京
马***语,发货 快 到货 很快 送货 没 耽误 除夕 口感 醇厚 款 浓香型 白酒 性价比 高 正好 过年 父亲 亲戚 拜年 合适 档次 排面,5,2024-02-13 13:22:25,六年窖头曲 52度500mL 整箱,新疆
w***8,购买 味道 好 送人 出手 入口 柔 中段 感受 辣味 伴随 醇厚 窖 香 异杂味,5,2024-02-23 11:37:41,六年窖头曲 52度500mL 整箱,山东
德***车,头曲 六年 窖 头感 好 入口 香醇 浓郁 可口 性价比 超高 口粮 酒 好 过年 朋友 喝酒 上档次 好喝 价格低 第二次 复购 酒友 没 快快 购买,5,2024-02-04 22:34:07,六年窖头曲 52度500mL 整箱,甘肃
y***l,好 几箱 无论是 老家 口粮 酒 办席 算 性价比 高 包装 喜庆 主体 红色 配 金色 字 好看 酒 质量 好 入口 不辣 度数,5,2024-02-13 12:42:45,六年窖头曲 52度500mL 整箱,湖南
我***云,酒 口感 绵软 辛辣 酒 香味 浓郁 喝后 上头 微醉 脑袋 不疼 很快 酒醒 适合 家庭 聚餐 亲朋好友 之间 饮用 酒 档位 正好 掉价 过节 期间 送 礼品袋 送人 喜庆 大气 京东 自营 物流 特别 快 耽误 走亲访友,5,2024-02-17 10:19:09,六年窖头曲 52度500mL 单瓶,新疆
O***r,香型 口感 酒 味道 醇厚 口感 好 包装 设计 包装 设计 上档次 喜庆 服务 京东 快递 速度 一如既往 快 隔天 物流 速度 服务 好 酒水 京东 购,5,2024-02-15 21:54:53,52度 500mL 2瓶 蓝花瓷龙年礼盒,山东
j***甲,纯香 好 入口 一次性 两瓶 送人 口粮 酒 性价比 高 一款 京东 自营 购买 保障 放心 还会 会后,5,2024-02-11 08:11:55,六年窖头曲 52度500mL 单瓶,福建
a***n,买来 送人 运输 不错 破损,3,2015-02-05 15:36:47,六年陈头曲09版-整箱装,未知
j***l,酒 算 不错 度 柔和 太冲 酒 香 上头 喜欢 浓香型 白酒 泸州老窖 特色 名酒,5,2024-02-23 08:03:13,六年窖头曲 52度500mL 单瓶,北京
5***旭,泸州老窖 中国 名酒 享誉 海内外 酒 包装 精美 入口 绵甜 爽口 不辣 呛 回味 悠长 一升 大包装 酒席 面子,5,2024-02-13 11:38:52,52度 1L 6瓶 蓝花瓷头曲大容量,江苏
j***r,挺 好 红色 喜庆 包装 设计 礼盒 包装 挺 好 大气 搭配 酒盅 香型 口感 没 拆 不太 服务 京东 配送 第二天 挺 好 送达 打电话 通知 物流 速度 快,5,2024-02-09 20:22:52,52度 500mL 2瓶 龙行大运礼盒,江苏
j***g,包装 好好看 酒 味道 不错 醇香 绵润 回口 留香 包装 设计 送 分 酒器 香型 口感 口感 绵柔 清香 服务 服务 到家 配送 挺快 物流 速度 物流 很快 配送 员 服务 优秀 下次 回购,5,2024-02-23 17:33:42,52度 500mL 2瓶 龙行大运礼盒,北京
付***犬,泸州老窖 口感 好 纯 高粱 四大 名酒 泸州老窖 商品质量 不错 细节 品质 做工 好 发货 贼 快 快递 力 棒棒 哒,5,2024-02-10 07:46:42,六年窖头曲 52度500mL 单瓶,四川
